Prefecture,JCODE,Municipality,AveragePricePerSQM
Tokyo,13121,Adachi Ward,382305
Tokyo,13211,Kodaira City,380885
Saitama Prefecture,11108,"Minami Ward,Saitama City",372220
Tokyo,13202,Tachikawa City,368406
Kanagawa Prefecture,14117,"Aoba Ward,Yokohama City",367673
Chiba Prefecture,12203,Ichikawa City,358676
Saitama Prefecture,11105,"Chuo Ward,Saitama City",356020
Kanagawa Prefecture,14105,"Minami Ward,Yokohama City",346558
Saitama Prefecture,11229,Wako City,340538
Kanagawa Prefecture,14135,"Tama Ward,Kawasaki City",338367
Saitama Prefecture,11224,Toda City,335868
Saitama Prefecture,11227,Asaka City,325419
Tokyo,13225,Inagi City,324868
Kanagawa Prefecture,14205,Fujisawa City,323802
Kanagawa Prefecture,14137,"Asao Ward,Kawasaki City",316913
Kanagawa Prefecture,14113,"Midori Ward,Yokohama City",309150
Chiba Prefecture,12106,"Mihama Ward,Chiba City",305145
Tokyo,13224,Tama City,299868
Kanagawa Prefecture,14207,Chigasaki City,297622
Kanagawa Prefecture,14111,"Konan Ward,Yokohama City",296036
Chiba Prefecture,12216,Narashino City,295517
Tokyo,13222,Higashikurume City,295098
Tokyo,13212,Hino City,293078
Saitama Prefecture,11228,Shiki City,293054
Saitama Prefecture,11203,Kawaguchi City,292613
Kanagawa Prefecture,14107,"Isogo Ward,Yokohama City",290886
Tokyo,13207,Akishima City,287753
Kanagawa Prefecture,14110,"Totsuka Ward,Yokohama City",287013
Kanagawa Prefecture,14213,Yamato City,283454
Saitama Prefecture,11230,Niiza City,283052
Kanagawa Prefecture,14153,"Minami Ward,Sagamihara City",280642
Tokyo,13213,Higashimurayama City,279501
Kanagawa Prefecture,14106,"Hodogaya Ward,Yokohama City",278387
Saitama Prefecture,11102,"Kita Ward,Saitama City",275216
Tokyo,13221,Kiyose City,274143
Kanagawa Prefecture,14204,Kamakura City,269239
Saitama Prefecture,11109,"Midori Ward,Saitama City",268732
Kanagawa Prefecture,14108,"Kanazawa Ward,Yokohama City",265501
Chiba Prefecture,12101,"Chuo Ward,Chiba City",264139
Tokyo,13209,Machida City,263194
Kanagawa Prefecture,14116,"Izumi Ward,Yokohama City",257790
Saitama Prefecture,11106,"Sakura Ward,Saitama City",256958
Kanagawa Prefecture,14215,Ebina City,256117
Saitama Prefecture,11235,Fujimi City,255304
Saitama Prefecture,11245,Fujimino City,253264
Kanagawa Prefecture,14112,"Asahi Ward,Yokohama City",250487
Tokyo,13220,Higashiyamato City,250294
Kanagawa Prefecture,14115,"Sakae Ward,Yokohama City",248694
Kanagawa Prefecture,14208,Zushi City,246604
Kanagawa Prefecture,14114,"Seya Ward,Yokohama City",246413
Chiba Prefecture,12204,Funabashi City,245480
Kanagawa Prefecture,14152,"Chuo Ward,Sagamihara City",241978
Kanagawa Prefecture,14216,Zama City,240255
Tokyo,13201,Hachioji City,235949
Kanagawa Prefecture,14301,"Hayama Town,Miura County",235462
Saitama Prefecture,11221,Soka City,234648
Saitama Prefecture,11208,Tokorozawa City,234161
Tokyo,13218,Fussa City,227256
Saitama Prefecture,11222,Koshigaya City,225548
Saitama Prefecture,11237,Misato City,223968
Chiba Prefecture,12207,Matsudo City,217519
Tokyo,13227,Hamura City,217031
Saitama Prefecture,11104,"Minuma Ward,Saitama City",207053
Chiba Prefecture,12103,"Inage Ward,Chiba City",205406
Kanagawa Prefecture,14201,Yokosuka City,202041
Kanagawa Prefecture,14212,Atsugi City,199810
Chiba Prefecture,12220,Nagareyama City,198842
Kanagawa Prefecture,14203,Hiratsuka City,198763
Chiba Prefecture,12102,"Hanamigawa Ward,Chiba City",198406
Chiba Prefecture,12221,Yachiyo City,197874
Chiba Prefecture,12217,Kashiwa City,196937
Kanagawa Prefecture,14218,Ayase City,186184
Kanagawa Prefecture,14151,"Midori Ward,Sagamihara City",185452
Kanagawa Prefecture,14361,"Nakai Town,Ashigarakami County",184456
Saitama Prefecture,11214,Kasukabe City,183654
Saitama Prefecture,11234,Yashio City,183176
Saitama Prefecture,11101,"Nishi Ward,Saitama City",182830
Saitama Prefecture,11219,Ageo City,182768
Saitama Prefecture,11324,"Miyoshi Town,Iruma County",181424
Saitama Prefecture,11201,Kawagoe City,180971
Kanagawa Prefecture,14321,"Samukawa Town,Koza County",180157
Saitama Prefecture,11243,Yoshikawa City,179218
Tokyo,13223,Musashimurayama City,176704
Saitama Prefecture,11215,Sayama City,171877
Kanagawa Prefecture,14341,"Oiso Town,Naka County",167348
Saitama Prefecture,11231,Okegawa City,163411
Saitama Prefecture,11241,Tsurugashima City,162337
Kanagawa Prefecture,14206,Odawara City,161138
Tokyo,13205,Oume City,160137
Chiba Prefecture,12231,Inzai City,159023
Saitama Prefecture,11225,Iruma City,158919
Saitama Prefecture,11246,Shiraoka City,157582
Chiba Prefecture,12224,Kamagaya City,151034
Kanagawa Prefecture,14366,"Kaisei Town,Ashigarakami County",149829
Tokyo,13228,Akiruno City,149508
Chiba Prefecture,12222,Abiko City,148964
Saitama Prefecture,11301,"Ina Town,Kitaadachi County",143535
Kanagawa Prefecture,14214,Isehara City,142708
Tokyo,13305,"Hinode Town,Nishitama County",134861
Saitama Prefecture,11110,"Iwatsuki Ward,Saitama City",134666
Tokyo,13303,"Mizuho Town,Nishitama County",134176
Saitama Prefecture,11233,Kitamoto City,133339
Chiba Prefecture,12105,"Midori Ward,Chiba City",132352
Kanagawa Prefecture,14342,"Ninomiya Town,Naka County",132306
Saitama Prefecture,11238,Hasuda City,131539
Chiba Prefecture,12232,Shiroi City,131254
Saitama Prefecture,11239,Sakado City,127757
Kanagawa Prefecture,14211,Hadano City,127716
Chiba Prefecture,12212,Sakura City,124766
Kanagawa Prefecture,14210,Miura City,124563
Chiba Prefecture,12104,"Wakaba Ward,Chiba City",123332
Chiba Prefecture,12228,Yotsukaido City,121695
Saitama Prefecture,11209,Hanno City,120503
Saitama Prefecture,11217,Konosu City,113326
Saitama Prefecture,11232,Kuki City,111286
Saitama Prefecture,11341,"Namegawa Town,Hiki County",109110
Chiba Prefecture,12211,Narita City,108614
Kanagawa Prefecture,14362,"Oi Town,Ashigarakami County",108127
Saitama Prefecture,11202,Kumagaya City,101991
Saitama Prefecture,11465,"Matsubushi Town,Kitakatsushika County",98386
Saitama Prefecture,11206,Gyoda City,98032
Kanagawa Prefecture,14363,"Matsuda Town,Ashigarakami County",96147
Chiba Prefecture,12208,Noda City,95709
Saitama Prefecture,11442,"Miyashiro Town,Minamisaitama County",95411
Chiba Prefecture,12219,Ichihara City,94430
Saitama Prefecture,11326,"Moroyama Town,Iruma County",93508
Saitama Prefecture,11342,"Ranzan Town,Hiki County",91724
Kanagawa Prefecture,14217,Minamiashigara City,91100
Kanagawa Prefecture,14401,"Aikawa Town,Aiko County",90622
Saitama Prefecture,11212,Higashimatsuyama City,88287
Saitama Prefecture,11464,"Sugito Town,Kitakatsushika County",87258
Chiba Prefecture,12322,"Shisui Town,Inba County",86010
Saitama Prefecture,11347,"Yoshimi Town,Hiki County",85684
Chiba Prefecture,12229,Sodegaura City,84293
Kanagawa Prefecture,14384,"Yugawara Town,Ashigarashimo County",81753
Saitama Prefecture,11218,Fukaya City,78433
Saitama Prefecture,11240,Satte City,73871
Saitama Prefecture,11210,Kazo City,73695
Saitama Prefecture,11242,Hidaka City,73286
Chiba Prefecture,12206,Kisarazu City,69205
Kanagawa Prefecture,14382,"Hakone Town,Ashigarashimo County",63670
Saitama Prefecture,11211,Honjo City,61777
Chiba Prefecture,12233,Tomisato City,60181
Saitama Prefecture,11346,"Kawajima Town,Hiki County",59685
Chiba Prefecture,12225,Kimitsu City,58440
Saitama Prefecture,11216,Hanyu City,57639
Kanagawa Prefecture,14383,"Manazuru Town,Ashigarashimo County",56515
Saitama Prefecture,11207,Chichibu City,55156
Saitama Prefecture,11385,"Kamisato Town,Kodama County",54765
Chiba Prefecture,12213,Togane City,53902
Chiba Prefecture,12239,Oamishirasato City,49854
Saitama Prefecture,11343,"Ogawa Town,Hiki County",49643
Kanagawa Prefecture,14402,"Kiyokawa Village,Aiko County",48244
Saitama Prefecture,11348,"Hatoyama Town,Hiki County",45650
Chiba Prefecture,12210,Mobara City,45133
Chiba Prefecture,12329,"Sakae Town,Inba County",44388
Kanagawa Prefecture,14364,"Yamakita Town,Ashigarakami County",44207
Tokyo,13307,"Hinohara Village,Nishitama County",42466
Saitama Prefecture,11361,"Yokoze Town,Chichibu County",42238
Saitama Prefecture,11383,"Kamikawa Town,Kodama County",42206
Chiba Prefecture,12230,Yachimata City,41049
Chiba Prefecture,12409,"Shibayama Town,Sanbu County",39077
Chiba Prefecture,12202,Choshi City,39069
Saitama Prefecture,11327,"Ogose Town,Iruma County",38225
Chiba Prefecture,12205,Tateyama City,37337
Chiba Prefecture,12443,"Onjuku Town,Isumi County",36751
Chiba Prefecture,12226,Futtsu City,35824
Chiba Prefecture,12421,"Ichinomiya Town,Chosei County",34389
Chiba Prefecture,12223,Kamogawa City,33448
Saitama Prefecture,11408,"Yorii Town,Osato County",32033
Saitama Prefecture,11362,"Minano Town,Chichibu County",32004
Chiba Prefecture,12463,"Kyonan Town,Awa County",30370
Chiba Prefecture,12237,Sanmu City,29302
Chiba Prefecture,12347,"Tako Town,Katori County",29127
Chiba Prefecture,12215,Asahi City,28990
Chiba Prefecture,12342,"Kozaki Town,Katori County",27444
Chiba Prefecture,12235,Sosa City,26516
Chiba Prefecture,12218,Katsuura City,26385
Chiba Prefecture,12423,"Chosei Village,Chosei County",24823
Tokyo,13308,"Okutama Town,Nishitama County",23311
Saitama Prefecture,11363,"Nagatoro Town,Chichibu County",23229
Chiba Prefecture,12403,"Kujukuri Town,Sanbu County",23030
Chiba Prefecture,12234,Minamiboso City,22921
Chiba Prefecture,12236,Katori City,22680
Saitama Prefecture,11365,"Ogano Town,Chichibu County",22254
Saitama Prefecture,11381,"Misato Town,Kodama County",21187
Chiba Prefecture,12349,"Tonosho Town,Katori County",21154
Chiba Prefecture,12424,"Shirako Town,Chosei County",20878
Chiba Prefecture,12238,Isumi City,20236
Chiba Prefecture,12410,"Yokoshibahikari Town,Sanbu County",20103
Saitama Prefecture,11349,"Tokigawa Town,Hiki County",19069
Chiba Prefecture,12422,"Mutsuzawa Town,Chosei County",18904
Chiba Prefecture,12427,"Chonan Town,Chosei County",17816
Chiba Prefecture,12426,"Nagara Town,Chosei County",17127
Saitama Prefecture,11369,"Higashichichibu Village,Chichibu County",13057
Chiba Prefecture,12441,"Otaki Town,Isumi County",10396
